338,Temitope,1,1,1
339,Tendai,1,1,1
340,Tendaji,1,0,1
341,Tewodros,1,0,1
342,Thabo,1,0,1
343,Thandiwe,0,1,1
344,Thema,0,1,1
345,Themba,1,1,1
346,Thoko,1,1,1
347,Thokozani,1,1,1
348,Thulani,1,0,1
349,Thulile,0,1,1
350,Tichaona,1,0,1
351,Tidir,0,1,1
352,Tifawt,0,1,1
353,Tinashe,1,1,1
354,Titilayo,0,1,1
355,Titrit,0,1,1
356,Tiyamike,1,1,1
357,Tsholofelo,0,1,1
358,Tumelo,1,1,1
359,Udo,1,1,1
360,Uduak,1,1,1
361,Ufuoma,1,1,1
362,Umukoro,1,0,1
363,Unathi,1,1,1
364,Uzochi,1,0,1
365,Uzoma,1,1,1
366,Wasswa,1,0,1
367,Wekesa,1,0,1
368,Werknesh,0,1,1
369,Worknesh,0,1,1
370,Xolani,1,0,1
371,Yaa,0,1,1
372,Yamikani,1,1,1
373,Yared,1,0,1
374,Yaw,1,0,1
375,Yejide,0,1,1
376,Yewande,0,1,1
377,Zephania,1,0,1
378,Zola,0,1,1
379,Zuberi,1,0,1
380,Zuri,0,1,1
381,Aferdita,0,1,2
382,Afrim,1,0,2
383,Agim,1,0,2
384,Alban,1,0,2
385,Aleksander,1,0,2
386,Bashkim,1,0,2
387,Behar,1,0,2
388,Besnik,1,0,2
389,Blerta,0,1,2
390,Bora,0,1,2
391,Dafina,0,1,2
392,Dardan,1,0,2
393,Dardana,0,1,2
394,Era,0,1,2
395,Fatmir,1,0,2
396,Fatmire,0,1,2
397,Flamur,1,0,2
398,Flutura,0,1,2
399,Gentian,1,0,2
400,Gentiana,0,1,2
401,Gentius,1,0,2
402,Gjergj,1,0,2
403,Gjon,1,0,2
404,Jehona,0,1,2
405,Kostandin,1,0,2
406,Lindita,0,1,2
407,Lule,0,1,2
408,Luljeta,0,1,2
409,Pal,1,0,2
410,Pali,1,0,2
411,Pavli,1,0,2
412,Pellumb,1,0,2
413,Perparim,1,0,2
414,Pranvera,0,1,2
415,Shpresa,0,1,2
416,Shqipe,0,1,2
417,Skender,1,0,2
418,Spartak,1,0,2
419,Teuta,0,1,2
420,Vasil,1,0,2
421,Venera,0,1,2
422,Vera,0,1,2
423,Vesa,0,1,2
424,Ylli,1,0,2
425,Yllka,0,1,2
426,Aali,1,0,3
427,Aaliyah,0,1,3
428,Aamina,0,1,3
429,Aaminah,0,1,3
430,'aamir,1,0,3
431,Aamir,1,0,3
432,'abbas,1,0,3
433,Abbas,1,0,3
434,Abd al-aziz,1,0,3
435,Abd al-hamid,1,0,3
436,Abd al-kader,1,0,3
437,Abd al-karim,1,0,3
438,Abd allah,1,0,3
439,Abd al-latif,1,0,3
440,Abd al-malik,1,0,3
441,Abd al-qadir,1,0,3
442,Abd al-rahman,1,0,3
443,Abd al-rashid,1,0,3
444,Abd al-wali,1,0,3
445,Abdul,1,0,3
446,Abdul-aziz,1,0,3
447,Abdul-hamid,1,0,3
448,Abdullah,1,0,3
449,Abdul-rahman,1,0,3
450,Abdur-rahman,1,0,3
451,Abdur-rashid,1,0,3
452,'abla,0,1,3
453,Abu,1,0,3
454,Abu al-fadl,1,0,3
455,Abu bakr,1,0,3
456,Abul-fazl,1,0,3
457,Adam,1,0,3
458,Adel,1,0,3
459,Adil,1,0,3
460,Adila,0,1,3
461,Adnan,1,0,3
462,Afaf,0,1,3
463,Afif,1,0,3
464,Afra,0,1,3
465,Afzal,1,0,3
466,Ahmad,1,0,3
467,Ahmed,1,0,3
468,Aida,0,1,3
469,'aisha,0,1,3
470,A'isha,0,1,3
471,Aisha,0,1,3
472,Akeem,1,0,3
473,Akilah,0,1,3
474,Akram,1,0,3
475,Ala,1,0,3
476,Ala al-din,1,0,3
477,Al-amir,1,0,3
478,'ali,1,0,3
479,Ali,1,0,3
480,Alia,0,1,3
481,Alim,1,0,3
482,Alina,0,1,3
